Country Name,Current health expenditure per capita (current US$)
Afghanistan,67.1226501464844
Albania,..
Algeria,258.494293212891
American Samoa,..
Andorra,4040.78662109375
Angola,114.45964050293
Antigua and Barbuda,673.859680175781
Arab World,345.789410458349
Argentina,1324.603515625
Armenia,407.635864257813
Aruba,..
Australia,5331.81787109375
Austria,4939.87548828125
Azerbaijan,275.809356689453
"Bahamas, The",1771.53552246094
Bahrain,1127.18627929688
Bangladesh,36.2823371887207
Barbados,1183.83618164063
Belarus,342.499908447266
Belgium,4507.3564453125
Belize,280.498809814453
Benin,30.7664470672607
Bermuda,..
Bhutan,96.7993011474609
Bolivia,220.274566650391
Bosnia and Herzegovina,460.473327636719
Botswana,465.929321289063
Brazil,928.79931640625
British Virgin Islands,..
Brunei Darussalam,671.411499023438
Bulgaria,663.715087890625
Burkina Faso,44.403491973877
Burundi,23.5004329681396
Cabo Verde,167.589614868164
Cambodia,82.0758666992188
Cameroon,67.8118133544922
Canada,4754.94775390625
Caribbean small states,582.671927003548
Cayman Islands,..
Central African Republic,24.1500549316406
Central Europe and the Baltics,934.008050740366
Chad,29.730863571167
Channel Islands,..
Chile,1381.98620605469
China,440.825622558594
Colombia,459.197570800781
Comoros,58.760929107666
"Congo, Dem. Rep.",19.4316463470459
"Congo, Rep.",49.9837226867676
Costa Rica,869.077758789063
Cote d'Ivoire,69.7492446899414
Croatia,902.1396484375
Cuba,987.627014160156
Curacao,..
Cyprus,1731.69445800781
Czech Republic,1475.91516113281
Denmark,5800.1513671875
Djibouti,70.3308944702148
Dominica,439.594451904297
Dominican Republic,433.208587646484
Early-demographic dividend,169.716268119907
East Asia & Pacific,671.079956165229
East Asia & Pacific (IDA & IBRD countries),344.289399151357
East Asia & Pacific (excluding high income),344.273677286342
Ecuador,518.029602050781
"Egypt, Arab Rep.",105.768455505371
El Salvador,282.491027832031
Equatorial Guinea,301.150054931641
Eritrea,32.9119987487793
Estonia,1300.48168945313
Eswatini,224.736770629883
Ethiopia,25.2619533538818
Euro area,3761.33529352997
Europe & Central Asia,2192.44307690792
Europe & Central Asia (IDA & IBRD countries),462.715268773023
Europe & Central Asia (excluding high income),410.185185436188
European Union,3261.42622643507
Faroe Islands,..
Fiji,188.414321899414
Finland,4205.74267578125
Fragile and conflict affected situations,78.7146959584749
France,4379.72705078125
French Polynesia,..
Gabon,204.492248535156
"Gambia, The",23.2723255157471
Georgia,293.053588867188
Germany,5033.4521484375
Ghana,66.7494125366211
Gibraltar,..
Greece,1516.58776855469
Greenland,..
Grenada,497.236053466797
Guam,..
Guatemala,259.935028076172
Guinea,33.7201118469238
Guinea-Bissau,52.3594093322754
Guyana,230.527282714844
Haiti,62.3532791137695
Heavily indebted poor countries (HIPC),53.2310967934123
High income,5284.11754994531
Honduras,195.935745239258
"Hong Kong SAR, China",..
Hungary,981.423034667969
IBRD only,324.586792263897
IDA & IBRD total,258.481440267046
IDA blend,65.1958396929016
IDA only,49.6357703944185
IDA total,55.0745622009202
Iceland,6086.3115234375
India,69.293098449707
Indonesia,114.971786499023
"Iran, Islamic Rep.",475.479949951172
Iraq,210.313705444336
Ireland,4976.8623046875
Isle of Man,..
Israel,3144.62622070313
Italy,2840.13061523438
Jamaica,307.196044921875
Japan,4168.986328125
Jordan,340.661804199219
Kazakhstan,279.645324707031
Kenya,76.6103210449219
Kiribati,171.41748046875
"Korea, Dem. People’s Rep.",..
"Korea, Rep.",2283.07470703125
Kosovo,..
Kuwait,1529.07763671875
Kyrgyz Republic,78.8228378295898
Lao PDR,62.1246337890625
Late-demographic dividend,506.216645875853
Latin America & Caribbean,685.31702184882
Latin America & Caribbean (excluding high income),653.926397143921
Latin America & the Caribbean (IDA & IBRD countries),678.874847632542
Latvia,930.352355957031
Least developed countries: UN classification,47.1952864953533
Lebanon,719.443481445313
Lesotho,104.552795410156
Liberia,56.5990295410156
Libya,..
Liechtenstein,..
Lithuania,1078.17919921875
Low & middle income,249.513676366239
Low income,44.8095965381493
Lower middle income,80.5009177413571
Luxembourg,5782.62841796875
"Macao SAR, China",..
Madagascar,24.6708374023438
Malawi,32.2593841552734
Malaysia,384.066070556641
Maldives,1006.93878173828
Mali,31.3781051635742
Malta,2585.56396484375
Marshall Islands,642.199157714844
Mauritania,48.8171310424805
Mauritius,599.699768066406
Mexico,494.677642822266
"Micronesia, Fed. Sts.",424.809783935547
Middle East & North Africa,458.960856789522
Middle East & North Africa (IDA & IBRD countries),262.153071659075
Middle East & North Africa (excluding high income),262.153071659075
Middle income,269.496705965721
Moldova,191.185775756836
Monaco,2932.421875
Mongolia,148.784454345703
Montenegro,..
Morocco,161.010864257813
Mozambique,21.0711555480957
Myanmar,58.0439567565918
Namibia,447.280639648438
Nauru,1106.7509765625
Nepal,47.9153633117676
Netherlands,4911.4404296875
New Caledonia,..
New Zealand,3937.22192382813
Nicaragua,192.083389282227
Niger,29.2616500854492
Nigeria,73.9249801635742
North America,9691.08933947145
North Macedonia,328.419799804688
Northern Mariana Islands,..
Norway,7936.375
Not classified,..
OECD members,4675.68324696195
Oman,587.646301269531
Other small states,639.897020371404
Pacific island small states,199.00904111287
Pakistan,44.5929641723633
Palau,1596.36291503906
Panama,1112.30322265625
Papua New Guinea,61.4578399658203
Paraguay,381.113067626953
Peru,332.570922851563
