Country Name,"Smoking prevalence, total (ages 15+)"
Afghanistan,..
Albania,28.7
Algeria,15.6
American Samoa,..
Andorra,33.5
Angola,..
Antigua and Barbuda,..
Arab World,21.9558575345158
Argentina,21.8
Armenia,24.1
Aruba,..
Australia,14.7
Austria,29.6
Azerbaijan,20.8
"Bahamas, The",11.5
Bahrain,26.4
Bangladesh,23
Barbados,7.8
Belarus,26.7
Belgium,28.2
Belize,..
Benin,6.4
Bermuda,..
Bhutan,..
Bolivia,..
Bosnia and Herzegovina,38.9
Botswana,20
Brazil,13.9
British Virgin Islands,..
Brunei Darussalam,16.9
Bulgaria,37
Burkina Faso,12.5
Burundi,..
Cabo Verde,9.1
Cambodia,17.2
Cameroon,..
Canada,14.3
Caribbean small states,..
Cayman Islands,..
Central African Republic,..
Central Europe and the Baltics,30.3940439405356
Chad,..
Channel Islands,..
Chile,37.8
China,25.6
Colombia,9
Comoros,14
"Congo, Dem. Rep.",..
"Congo, Rep.",26.9
Costa Rica,11.9
Cote d'Ivoire,..
Croatia,37
Cuba,35.2
Curacao,..
Cyprus,36.4
Czech Republic,34.3
Denmark,19.1
Djibouti,13.1
Dominica,..
Dominican Republic,13.7
Early-demographic dividend,17.0260539331026
East Asia & Pacific,26.2329731626091
East Asia & Pacific (IDA & IBRD countries),26.7134317654002
East Asia & Pacific (excluding high income),26.7134317654002
Ecuador,7.1
"Egypt, Arab Rep.",25.2
El Salvador,9.9
Equatorial Guinea,..
Eritrea,5.7
Estonia,31.3
Eswatini,9
Ethiopia,4.4
Euro area,29.1317837935496
Europe & Central Asia,29.2942077389039
Europe & Central Asia (IDA & IBRD countries),30.7871918685888
Europe & Central Asia (excluding high income),31.0627422073604
European Union,29.0664204701511
Faroe Islands,..
Fiji,22.6
Finland,20.4
Fragile and conflict affected situations,..
France,32.7
French Polynesia,..
Gabon,..
"Gambia, The",15.5
Georgia,28.8
Germany,30.6
Ghana,3.9
Gibraltar,..
Greece,43.4
Greenland,..
Grenada,..
Guam,..
Guatemala,..
Guinea,..
Guinea-Bissau,..
Guyana,..
Haiti,12.7
Heavily indebted poor countries (HIPC),..
High income,24.1915927115286
Honduras,2
"Hong Kong SAR, China",..
Hungary,30.6
IBRD only,21.0017036086587
IDA & IBRD total,19.8405643786903
IDA blend,13.9853492847877
IDA only,15.2809253159097
IDA total,14.7565974954709
Iceland,14.7
India,11.5
Indonesia,39.4
"Iran, Islamic Rep.",11
Iraq,..
Ireland,24.3
Isle of Man,..
Israel,25.2
Italy,23.7
Jamaica,16.8
Japan,22.1
Jordan,..
Kazakhstan,24
Kenya,10.7
Kiribati,47
"Korea, Dem. People’s Rep.",..
"Korea, Rep.",23.3
Kosovo,..
Kuwait,22.5
Kyrgyz Republic,26.5
Lao PDR,28.9
Late-demographic dividend,24.7481862032136
Latin America & Caribbean,14.3490746713373
Latin America & Caribbean (excluding high income),13.5775996351902
Latin America & the Caribbean (IDA & IBRD countries),13.9098870308961
Latvia,37
Least developed countries: UN classification,15.8781784016116
Lebanon,33.8
Lesotho,26.7
Liberia,9.8
Libya,..
Liechtenstein,..
Lithuania,28.8
Low & middle income,19.7197532590607
Low income,..
Lower middle income,15.0147288416689
Luxembourg,23.5
"Macao SAR, China",..
Madagascar,..
Malawi,14.5
Malaysia,21.5
Maldives,28.3
Mali,12.3
Malta,25.5
Marshall Islands,..
Mauritania,..
Mauritius,21.6
Mexico,14
"Micronesia, Fed. Sts.",..
Middle East & North Africa,19.4754278036161
Middle East & North Africa (IDA & IBRD countries),19.4372983119862
Middle East & North Africa (excluding high income),19.4372983119862
Middle income,20.1683707274991
Moldova,24.2
Monaco,..
Mongolia,25.6
Montenegro,45.9
Morocco,23.4
Mozambique,16.6
Myanmar,20.3
Namibia,21.4
Nauru,40
Nepal,22.8
Netherlands,25.8
New Caledonia,..
New Zealand,16
Nicaragua,..
Niger,7.7
Nigeria,5.8
North America,21.0282453795798
North Macedonia,..
Northern Mariana Islands,..
Norway,20.2
Not classified,..
OECD members,23.0974811285943
Oman,11.1
Other small states,23.2120598887137
Pacific island small states,..
Pakistan,20.1
Palau,15.6
Panama,6.1
Papua New Guinea,36.3
Paraguay,13.4
Peru,4.8
Philippines,24.3
Poland,28
Portugal,22.7
Post-demographic dividend,24.5124826667558
Pre-demographic dividend,..
Puerto Rico,..
Qatar,20.6
Romania,29.7
Russian Federation,39.3
Rwanda,12.3
Samoa,27.7
San Marino,..
Sao Tome and Principe,..
Saudi Arabia,15.6
Senegal,8.2
Serbia,38.9
Seychelles,21.5
Sierra Leone,24.8
Singapore,16.5
Sint Maarten (Dutch part),..
Slovak Republic,30.1
Slovenia,22.5
Small states,22.3515073499803
Solomon Islands,..
Somalia,..
South Africa,20.3
South Asia,13.6747455944686
South Asia (IDA & IBRD),13.6747455944686
South Sudan,..
Spain,29.3
Sri Lanka,13
St. Kitts and Nevis,..
St. Lucia,..
St. Martin (French part),..
St. Vincent and the Grenadines,..
Sub-Saharan Africa,10.176913734358
Sub-Saharan Africa (IDA & IBRD countries),10.176913734358
Sub-Saharan Africa (excluding high income),10.1492748205849
Sudan,..
Suriname,25
Sweden,18.8
Switzerland,25.7
Syrian Arab Republic,..
Tajikistan,..
Tanzania,14.8
Thailand,19.9
Timor-Leste,42.6
Togo,7.4
Tonga,27.9
Trinidad and Tobago,..
Tunisia,32.7
Turkey,27.2
Turkmenistan,..
Turks and Caicos Islands,..
Tuvalu,..
Uganda,10
Ukraine,28.9
United Arab Emirates,28.9
United Kingdom,22.3
United States,21.8
Upper middle income,24.8715410215382
Uruguay,16.8
Uzbekistan,12.6
Vanuatu,18.6
"Venezuela, RB",..
Vietnam,22.8
Virgin Islands (U.S.),..
West Bank and Gaza,..
World,20.4850712121144
"Yemen, Rep.",18.4
Zambia,13.8
Zimbabwe,15.8
